Bank,Transaction Date,Posting Date,Description,Amount
TD,2024-03-03,2024-03-04,YUAN MING SUPERMARKET,14.34
TD,2024-03-03,2024-03-04,T&T SUPERMARKET #015 MISSISSAUGA,155.79
TD,2024-03-03,2024-03-04,PAYMENT - THANK YOU,-1000
TD,2024-03-04,2024-03-05,PAYMENT - THANK YOU,-518.46
TD,2024-03-06,2024-03-07,BLURB 2069055999,155.33
TD,2024-03-09,2024-03-11,YUAN MING SUPERMARKET,19.45
TD,2024-03-14,2024-03-18,OAKVILLE REC & CULTURE OAKVILLE,25.99
TD,2024-03-15,2024-03-18,BKG*HOTEL AT BOOKING.C (888)850-395,391.56
TD,2024-03-16,2024-03-18,YUAN MING SUPERMARKET,24.11
TD,2024-03-16,2024-03-18,YUAN MING SUPERMARKET,47.43
TD,2024-03-16,2024-03-18,T&T SUPERMARKET #015 MISSISSAUGA,113.07
TD,2024-03-17,2024-03-18,AIRBNB * HM3JATEEPT AIRBNB.COM,-715.04
TD,2024-03-19,2024-03-20,RONG RONG PAN DENTISTRY,70.9
TD,2024-03-20,2024-03-21,AGODA.COM THE ROYAL New York,627.54
TD,2024-03-22,2024-03-25,AGODA.COM THE ROYAL New York,-627.54
TD,2024-03-23,2024-03-25,YUAN MING SUPERMARKET,37.56
TD,2024-03-23,2024-03-25,T&T SUPERMARKET #015 MISSISSAUGA,104.98
TD,2024-03-24,2024-03-25,PAYMENT - THANK YOU,-1000
TD,2024-03-25,2024-03-26,PAYMENT - THANK YOU,-275
TD,2024-03-26,2024-03-27,IN *E-BOTS ROBOTICS 905-3371299,310.75
TD,2024-03-28,2024-04-01,BKG*HOTEL AT BOOKING.C (888)850-395,749.69
TD,2024-03-31,2024-04-01,TAOBAO.COM London,43.28
TD,2024-03-31,2024-04-01,TAOBAO.COM London,-43.28
TD,2024-03-31,2024-04-05,AGODA.COM THE GATE H Internet,782.76
TD,2024-04-01,2024-04-02,CROWN CREST CAPITAL TORONTO,57.7
TD,2024-04-01,2024-04-03,THE GATE HOTEL TOKYO TIYODAKU,7.36
TD,2024-04-02,2024-04-08,AGODA.COM ONYADO NON Internet,219.04
TD,2024-04-03,2024-04-05,JR EAST SIBUYAKU,260.61
TD,2024-04-03,2024-04-08,HOTERUHAIYAKABUSHIKIGAISH,15.77
TD,2024-04-04,2024-04-08,THE GATE HOTEL KYOTO KIYOUTOSI,7.36
TD,2024-04-04,2024-04-08,TAJIMA TAXI KYOTO,39.57
TD,2024-04-04,2024-04-08,MIYAKOOJI TAXI 00-0000-0000,40.48
TD,2024-04-05,2024-04-08,KYOCERA MUSEUM OF ART 075-771-4334,40.48
TD,2024-04-05,2024-04-08,MIZUHO TAXI 090-3625-487,10.12
TD,2024-04-05,2024-04-08,NM_ARTRECTANGLE TOKYO,14.29
TD,2024-04-06,2024-04-08,THE GATE HOTEL KYOTO KIYOUTOSI,57.52
TD,2024-04-07,2024-04-09,MITSI GARDEN HOTEL OSAK OSAKA,406.39
TD,2024-04-07,2024-04-09,ONYADO NONO NARA NARA,42.68
TD,2024-04-07,2024-04-10,OSAKASANYOTAKUSHI KADO OSAKA,6.44
TD,2024-04-08,2024-04-11,NIHONTAKUSHIKABUSHIKIGAIS OSAKA,12.97
TD,2024-04-08,2024-04-11,AEON OSAKADOMUTEN OSAKA,66.39
TD,2024-04-09,2024-04-11,KIX DFS OSAKA,62.8
TD,2024-04-09,2024-04-11,KIX DFS OSAKA,24.09
TD,2024-04-09,2024-04-12,MIRAITO 06-6911-0271,13.92
TD,2024-04-14,2024-04-16,OAKVILLE REC & CULTURE OAKVILLE,25.99
TD,2024-04-20,2024-04-22,SCJCJTTFKGYXJDFGS CHENGDU,93.79
TD,2024-04-26,2024-04-26,Uniqlo Canada Inc. Toronto,259.22
TD,2024-04-26,2024-04-29,PAYMENT - THANK YOU,-1000
TD,2024-05-01,2024-05-02,CROWN CREST CAPITAL TORONTO,59.72
TD,2024-05-01,2024-05-02,PAYMENT - THANK YOU,-1000
TD,2024-05-02,2024-05-03,PAYMENT - THANK YOU,-2049.29
TD,2024-05-04,2024-05-06,IN *E-BOTS ROBOTICS 905-3371299,310.75
TD,2024-05-04,2024-05-06,YUAN MING SUPERMARKET,63.24
TD,2024-05-04,2024-05-06,T&T SUPERMARKET #015 MISSISSAUGA,99.89
TD,2024-05-08,2024-05-09,RCSS #1024 OAKVILLE,59.86
TD,2024-05-11,2024-05-13,T&T SUPERMARKET #015 MISSISSAUGA,92.93
TD,2024-05-11,2024-05-13,YUAN MING SUPERMARKET,60.79
TD,2024-05-14,2024-05-16,OAKVILLE REC & CULTURE OAKVILLE,25.99
TD,2024-05-15,2024-05-16,PAYMENT - THANK YOU,-1000
TD,2024-05-18,2024-05-21,Uniqlo Canada Inc. Toronto,138.12
TD,2024-05-18,2024-05-21,YUAN MING SUPERMARKET,89.63
TD,2024-05-18,2024-05-21,T&T SUPERMARKET #015 MISSISSAUGA,73.27
TD,2024-05-22,2024-05-23,Uniqlo Canada Inc. Toronto,119.33
TD,2024-05-24,2024-05-27,YUAN MING SUPERMARKET,51.6
TD,2024-05-24,2024-05-27,T&T SUPERMARKET #015 MISSISSAUGA,102.61
TD,2024-06-01,2024-06-03,YUAN MING SUPERMARKET,81.86
TD,2024-06-01,2024-06-03,T&T SUPERMARKET #015 MISSISSAUGA,100.08
TD,2024-06-03,2024-06-04,CROWN CREST CAPITAL TORONTO,59.72
TD,2024-06-08,2024-06-10,YUAN MING SUPERMARKET,68.02
TD,2024-06-08,2024-06-10,FOOD BASICS 669 MISSISSAUGA,18.03
TD,2024-06-08,2024-06-10,T&T SUPERMARKET #015 MISSISSAUGA,40.77
TD,2024-06-08,2024-06-10,YAMA'S NF MISSISSAUGA MISSISSAUGA,11.06
TD,2024-06-10,2024-06-11,PAYMENT - THANK YOU,-140.1
TD,2024-06-11,2024-06-11,RETAIL INTEREST,5.55
TD,2024-06-20,2024-06-21,Uniqlo Canada Toronto,56.39
TD,2024-06-20,2024-06-21,Uniqlo Canada POS_CA_SQ1_ Mississauga,14.47
TD,2024-06-20,2024-06-21,GAP CANADA 9847 MISSISSAUGA,14.64
TD,2024-06-20,2024-06-24,PEARL HOTEL COLLECTION IK ATHINA,326.38
TD,2024-06-21,2024-06-24,AMALFI VACATION IT SRL AMALFI,173.34
TD,2024-06-22,2024-06-24,YUAN MING SUPERMARKET,55.3
TD,2024-06-23,2024-06-24,"ECCO Shoes Canada, Inc. Toronto",246.32
TD,2024-06-25,2024-06-26,CPC SCP/0009920623443 OTTAWA,112.15
TD,2024-06-27,2024-06-28,RCSS #1024 OAKVILLE,19.96
TD,2024-06-28,2024-07-02,IN *E-BOTS ROBOTICS 905-3371299,310.75
TD,2024-06-29,2024-07-02,YUAN MING SUPERMARKET,38.53
TD,2024-06-29,2024-07-02,T&T SUPERMARKET #015 MISSISSAUGA,21.45
TD,2024-06-30,2024-07-02,PAYMENT - THANK YOU,-1000
TD,2024-06-30,2024-07-02,Uniqlo Canada Toronto,22.38
TD,2024-06-30,2024-07-02,HM Square One Mississauga,5.64
TD,2024-06-30,2024-07-02,GAP CANADA 9847 MISSISSAUGA,10.26
TD,2024-07-02,2024-07-03,BKG*BOOKING.COM HOTEL (888)850-395,196.77
TD,2024-07-03,2024-07-04,RONG RONG PAN DENTISTRY,93.8
TD,2024-07-05,2024-07-08,WINNERSHOMESENSE 36703 OAKVILLE,45.19
TD,2024-07-06,2024-07-08,UBER CANADA/UBERTRIP TORONTO,44.08
TD,2024-07-06,2024-07-08,YUAN MING SUPERMARKET,38.61
TD,2024-07-06,2024-07-08,T&T SUPERMARKET #015 MISSISSAUGA,75.8
TD,2024-07-07,2024-07-08,PAM PANORAMA FORMIA FORMIA,101.99
TD,2024-07-07,2024-07-08,B_356037_1411633 WWW.TRAV AMALFI,92.35
TD,2024-07-08,2024-07-09,AMALFI AMALFI,15.17
TD,2024-07-09,2024-07-10,CASA GROTTA MATERA MATERA,15.16
TD,2024-07-09,2024-07-10,COMUNE DI CETARA CETARA,6.06
TD,2024-07-09,2024-07-10,AI PALMENTI MATERA,75.03
TD,2024-07-10,2024-07-11,ASPIT BARI NORD - NAPOLI EST,31.33
TD,2024-07-10,2024-07-11,TANA DIREZ. USCITA - ARENELLA,1.52
TD,2024-07-10,2024-07-11,VILLA ANDREINA SAS DI CA NAPOLI,213.44
TD,2024-07-10,2024-07-11,RTVM AUGUSTEO NAPOLI,3.94
TD,2024-07-10,2024-07-11,135 MATERA,28.76
TD,2024-07-10,2024-07-11,5400597 NAPOLI,3.94
TD,2024-07-11,2024-07-12,GEORGIOS KRIELAS KAI SANTORINI,31.15
TD,2024-07-11,2024-07-12,RTVM AUGUSTEO NAPOLI,3.94
TD,2024-07-11,2024-07-12,5400587 NAPOLI,3.94
TD,2024-07-11,2024-07-15,PIGI TRADE THIRA,23.24
TD,2024-07-11,2024-07-11,ANNUAL FEE REBATE,-69.5
TD,2024-07-11,2024-07-11,ANNUAL FEE,139
TD,2024-07-12,2024-07-15,MELINA'S THIRA,76.73
TD,2024-07-13,2024-07-15,ROKA THIRA,65.43
TD,2024-07-14,2024-07-15,ATTIKI ODOS SA KOROPI,4.27
TD,2024-07-14,2024-07-15,NEA ODOS AE KAPANDRITI,5.41
TD,2024-07-14,2024-07-15,NEA ODOS AE THIVA,6.41
TD,2024-07-14,2024-07-15,NEA ODOS AE MARTINO,6.32
TD,2024-07-14,2024-07-15,AFTOKINITODROMOS KEN MOLOS,2.9
TD,2024-07-14,2024-07-15,ODOS KENTRIKIS ELLAD LYGARIA LAMI,2.82
TD,2024-07-14,2024-07-15,AFTOKINITODROMOS KEN,5.19
TD,2024-07-14,2024-07-15,AFTOKINITODROMOS KEN LONGOS,4.5
TD,2024-07-14,2024-07-16,ESTIATORIO METEORA P C KALAMBAKA,47.28
TD,2024-07-14,2024-07-16,KYVELEIA KALAMPAKA,6.1
TD,2024-07-14,2024-07-16,LIDL KALAMPAKA,46.29
TD,2024-07-14,2024-07-16,LIDL KALAMPAKA,0.31
TD,2024-07-14,2024-07-16,"OLYMPOUS PLAZA 76 144,25CHLM",1.22
TD,2024-07-15,2024-07-16,NTA MA ACCOMMODATI KALABAKA,88.46
TD,2024-07-15,2024-07-16,NEA ODOS AE TEROVO,5.1
TD,2024-07-15,2024-07-16,NEA ODOS A E ARTA,1.22
TD,2024-07-15,2024-07-17,DIODIA MALAKASIOU CHTH 11800,2.9
TD,2024-07-15,2024-07-17,DIODIA PAMVOTIDAS CHTH 77000,2.37
TD,2024-07-15,2024-07-17,DIODIA AKTIOU YPOTHALASS,4.57
TD,2024-07-15,2024-07-17,PONDI RESTAURANT FAMILY VASILIKI L,44.84
TD,2024-07-16,2024-07-17,PONTI BEACH HOTEL VASILIKI,194.9
TD,2024-07-16,2024-07-17,WEST FERRY PEIRAIAS,88.66
TD,2024-07-16,2024-07-17,DIMOS SAMIS SAMI,40.26
TD,2024-07-16,2024-07-18,AB_FOOD_AG.EYFIMIA_949 AGIA,17.84
TD,2024-07-16,2024-07-19,TOTOLOS CHRISTOS POROS KEFALL,42.04
TD,2024-07-17,2024-07-19,RIVIERA POROS KEFA,124.66
TD,2024-07-17,2024-07-19,SUNLINE MARINE AGIOS NIKO,91.77
TD,2024-07-17,2024-07-19,AGOULOS IKE ARGASI ZAK,63.48
TD,2024-07-18,2024-07-19,TRAVENTURE IN GREE MACHAIRADO,92.09
TD,2024-07-18,2024-07-19,CAMEO ISLAND ZAKYNTHOS,15.34
TD,2024-07-18,2024-07-22,IONIAN HILL ARGASI,76.73
TD,2024-07-18,2024-07-22,AGOULOS IKE ARGASI ZAK,69.06
TD,2024-07-19,2024-07-22,BANDIERA ATHINA,50.65
TD,2024-07-19,2024-07-22,OLYMPIA ODOS SA LOUTRAKI PER,2.91
TD,2024-07-19,2024-07-22,OLYMPIA ODOS SA RIO PATRON,3.68
TD,2024-07-19,2024-07-22,OLYMPIA ODOS SA DIAKOFTO,5.37
TD,2024-07-19,2024-07-22,OLYMPIA ODOS SA ZEVGOLATIO (,3.83
TD,2024-07-19,2024-07-22,OLYMPIA ODOS SA ELEFSINA,3.53
TD,2024-07-20,2024-07-22,SILK OIL ATHINA,23.01
TD,2024-07-20,2024-07-22,ATTIKI ODOS SA METAMORFOSI,4.29
TD,2024-07-20,2024-07-22,NOMISMATIKO MOUSEIO 1 ATHINA,18.41
TD,2024-07-20,2024-07-22,ATTALOS HOTEL ATHINA,252.55
TD,2024-07-21,2024-07-22,UBER* TRIP HTTPSWWW.UBE,45.47
TD,2024-07-21,2024-07-22,YUAN MING SUPERMARKET,54.34
TD,2024-07-21,2024-07-22,T&T SUPERMARKET #015 MISSISSAUGA,81.22
TD,2024-07-21,2024-07-23,FORTINOS (NEYAGAWA 201 OAKVILLE,6.49
TD,2024-07-23,2024-07-24,CROWN CREST CAPITAL 800-764-5138,59.72
TD,2024-07-27,2024-07-29,YUAN MING SUPERMARKET,55.93
TD,2024-07-27,2024-07-29,T&T SUPERMARKET #015 MISSISSAUGA,70.27
TD,2024-07-29,2024-07-31,OAKVILLE REC & CULTURE OAKVILLE,25.98
TD,2024-07-30,2024-07-31,PAYMENT - THANK YOU,-1000
TD,2024-08-01,2024-08-02,PAYMENT - THANK YOU,-1000
TD,2024-08-01,2024-08-02,CROWN CREST CAPITAL TORONTO,59.72
TD,2024-08-01,2024-08-02,PAYMENT - THANK YOU,-566.04
TD,2024-08-03,2024-08-06,YUAN MING SUPERMARKET,50.08
TD,2024-08-03,2024-08-06,T&T SUPERMARKET #015 MISSISSAUGA,43.84
TD,2024-08-10,2024-08-12,YUAN MING SUPERMARKET,20.38
TD,2024-08-10,2024-08-12,T&T SUPERMARKET #015 MISSISSAUGA,74.07
TD,2024-08-15,2024-08-16,RONG RONG PAN DENTISTRY,178.8
TD,2024-08-15,2024-08-16,RCSS #1024 OAKVILLE,113.81
TD,2024-08-17,2024-08-19,YUAN MING SUPERMARKET,41.96
TD,2024-08-17,2024-08-19,IKEA ETOBICOKE ETOBICOKE,217.23
TD,2024-08-17,2024-08-19,T&T SUPERMARKET #015 MISSISSAUGA,66.91
TD,2024-08-17,2024-08-19,THE BEST SHOP MISSISSAUGA,12.49
TD,2024-08-24,2024-08-26,PAYMENT - THANK YOU,-1000
TD,2024-08-24,2024-08-26,YUAN MING SUPERMARKET,91.61
TD,2024-08-24,2024-08-26,T&T SUPERMARKET #015 MISSISSAUGA,37.97
TD,2024-08-26,2024-08-27,PAYMENT - THANK YOU,-1000
TD,2024-08-26,2024-08-27,FORTINOS (NEYAGAWA 201 OAKVILLE,7.96
TD,2024-08-28,2024-08-30,OAKVILLE REC & CULTURE OAKVILLE,25.99
TD,2024-08-29,2024-08-30,RCSS #1024 OAKVILLE,24.51
TD,2024-08-31,2024-09-03,CRATE & BARREL #351 TORONTO,472.27
TD,2024-09-01,2024-09-03,RCSS #1024 OAKVILLE,7.9
TD,2024-09-03,2024-09-04,CROWN CREST CAPITAL TORONTO,59.72
TD,2024-09-03,2024-09-04,PAYMENT - THANK YOU,-425.48
TD,2024-09-22,2024-09-24,Halton District School Bo 905-3353665,109.75
TD,2024-09-26,2024-09-27,RONG RONG PAN DENTISTRY,1042
TD,2024-09-28,2024-10-01,OAKVILLE REC & CULTURE OAKVILLE,25.99
TD,2024-09-28,2024-10-01,THE HOME DEPOT #7301 BRAMPTON,51.95
TD,2024-09-28,2024-10-01,KFC/TACO BELL BRAMPTON,13.56
TD,2024-09-29,2024-10-01,DOLLARAMA # 795 BRAMPTON,7.06
TD,2024-09-30,2024-10-01,YUAN MING SUPERMARKET,40.98
TD,2024-09-30,2024-10-01,T&T SUPERMARKET #015 MISSISSAUGA,92.6
TD,2024-09-30,2024-10-01,RCSS #1024 OAKVILLE,11.49
TD,2024-10-01,2024-10-02,PAYMENT - THANK YOU,-1000
TD,2024-10-01,2024-10-02,CROWN CREST CAPITAL TORONTO,59.72
TD,2024-10-02,2024-10-03,PAYMENT - THANK YOU,-359.13
TD,2024-10-05,2024-10-07,YUAN MING SUPERMARKET,43.71
TD,2024-10-05,2024-10-07,T&T SUPERMARKET #015 MISSISSAUGA,33.03
TD,2024-10-08,2024-10-09,IN *E-BOTS ROBOTICS 905-3371299,367.25
TD,2024-10-12,2024-10-15,T&T SUPERMARKET #015 MISSISSAUGA,138.39
TD,2024-10-17,2024-10-18,RCSS #1024 OAKVILLE,134.8
TD,2024-10-28,2024-10-30,OAKVILLE REC & CULTURE OAKVILLE,25.99
TD,2024-10-30,2024-10-31,PAYMENT - THANK YOU,-1000
TD,2024-11-01,2024-11-04,PAYMENT - THANK YOU,-1000
TD,2024-11-01,2024-11-04,CROWN CREST CAPITAL TORONTO,59.72
TD,2024-11-02,2024-11-04,YUAN MING SUPERMARKET,83.32
TD,2024-11-02,2024-11-04,T&T SUPERMARKET #015 MISSISSAUGA,61.96
TD,2024-11-03,2024-11-04,EDDIE BAUER CANADA #49 HALTON,66.11
TD,2024-11-18,2024-11-20,HALTON HEALTH CARE OAKVILLE,20
TD,2024-11-18,2024-11-20,CORP CANADA/17217469 OTTAWA,12
TD,2024-11-28,2024-12-02,OAKVILLE REC & CULTURE OAKVILLE,25.99
TD,2024-11-30,2024-12-02,AIR TRANSAT F4L5RV 8778726728,2380.24
TD,2024-12-01,2024-12-02,PAYMENT - THANK YOU,-1000
TD,2024-12-02,2024-12-03,CROWN CREST CAPITAL TORONTO,59.72
TD,2024-12-02,2024-12-03,PEEL CONDO CORP #294 MISSISSAUGA,4.5
TD,2024-12-06,2024-12-09,PAYMENT - THANK YOU,-1000
TD,2024-12-23,2024-12-27,OAKVILLE REC & CULTURE OAKVILLE,-0.87
TD,2024-12-23,2024-12-27,OAKVILLE REC & CULTURE OAKVILLE,-0.85
TD,2024-12-23,2024-12-27,OAKVILLE REC & CULTURE OAKVILLE,-0.85
TD,2024-12-23,2024-12-27,OAKVILLE REC & CULTURE OAKVILLE,-0.85
TD,2024-12-23,2024-12-27,OAKVILLE REC & CULTURE OAKVILLE,-0.85
TD,2024-12-27,2024-12-30,PAYMENT - THANK YOU,-1000
TD,2025-01-02,2025-01-03,CROWN CREST CAPITAL TORONTO,59.72
TD,2025-01-27,2025-01-28,PAYMENT - THANK YOU,-27.28
TD,2025-02-03,2025-02-04,CROWN CREST CAPITAL TORONTO,59.72
TD,2025-03-03,2025-03-04,CROWN CREST CAPITAL TORONTO,61.81
TD,2025-03-06,2025-03-07,PAYMENT - THANK YOU,-60
TD,2025-03-11,2025-03-11,RETAIL INTEREST,0.54
RBC,2025-03-22,2025-03-24,YUAN MING SUPERMARKET MISSISSAUGA ON,17.69
RBC,2025-03-22,2025-03-24,T&T SUPERMARKET #015 MISSISSAUGA ON,70.85
TD,2025-03-24,2025-03-25,TD Points Redemption,-484.76
TD,2025-03-24,2025-03-25,TD Points Redemption,-53
TD,2025-03-25,2025-03-25,EXPEDIA 73063528864047 877-222-6492,484.76
TD,2025-03-25,2025-03-25,EXPEDIA 73063548407844 877-222-6492,260.78
RBC,2025-03-28,2025-03-31,RCSS #1024 OAKVILLE ON,27.19
RBC,2025-03-29,2025-03-31,YUAN MING SUPERMARKET MISSISSAUGA ON,34.77
RBC,2025-03-29,2025-03-31,T&T SUPERMARKET #015 MISSISSAUGA ON,75.32
TD,2025-04-01,2025-04-02,CROWN CREST CAPITAL TORONTO,61.81
RBC,2025-04-04,2025-04-07,SOBEYS GLEN ABBEY #777 OAKVILLE ON,4.98
RBC,2025-04-07,2025-04-07,ANNUAL FEE,4
RBC,2025-04-11,2025-04-14,RCSS #1024 OAKVILLE ON,39.93
RBC,2025-04-13,2025-04-14,YUAN MING SUPERMARKET MISSISSAUGA ON,24.14
RBC,2025-04-13,2025-04-14,T&T SUPERMARKET #015 MISSISSAUGA ON,1.9
RBC,2025-04-13,2025-04-14,T&T SUPERMARKET #015 MISSISSAUGA ON,38.91
RBC,2025-04-23,2025-04-25,TD CANADA TRUST TORONTO,-234.8
RBC,2025-04-27,2025-04-28,YUAN MING SUPERMARKET MISSISSAUGA ON,28.38
RBC,2025-04-27,2025-04-28,T&T SUPERMARKET #015 MISSISSAUGA ON,46.22
RBC,2025-04-29,2025-05-01,PRESTO FARE/5G7FNKB8HF TORONTO ON,16.32
TD,2025-05-01,2025-05-02,CROWN CREST CAPITAL TORONTO,61.81
RBC,2025-05-01,2025-05-02,RCSS #1024 OAKVILLE ON,5.55
RBC,2025-05-03,2025-05-05,YUAN MING SUPERMARKET MISSISSAUGA ON,54.35
RBC,2025-05-03,2025-05-05,T&T SUPERMARKET #015 MISSISSAUGA ON,21.86
TD,2025-05-05,2025-05-06,PAYMENT - THANK YOU,-332
TD,2025-05-06,2025-05-07,AIRALO SINGAPORE,1.67
RBC,2025-05-07,2025-05-07,ANNUAL FEE,4
RBC,2025-05-10,2025-05-12,YUAN MING SUPERMARKET MISSISSAUGA ON,15.74
RBC,2025-05-10,2025-05-12,T&T SUPERMARKET #015 MISSISSAUGA ON,33.5
RBC,2025-05-10,2025-05-12,YAMA©S NF MISSISSAUGA MISSISSAUGA ON,-1.14
RBC,2025-05-10,2025-05-12,YAMA©S NF MISSISSAUGA MISSISSAUGA ON,20.47
TD,2025-05-12,2025-05-12,RETAIL INTEREST,3.77
RBC,2025-05-18,2025-05-20,YUAN MING SUPERMARKET MISSISSAUGA ON,19.95
RBC,2025-05-18,2025-05-20,T&T SUPERMARKET #015 MISSISSAUGA ON,52.49
RBC,2025-05-24,2025-05-26,YUAN MING SUPERMARKET MISSISSAUGA ON,94.96
RBC,2025-05-24,2025-05-26,T&T SUPERMARKET #015 MISSISSAUGA ON,62.78
RBC,2025-05-28,2025-05-29,PAYMENT - THANK YOU / PAIEMENT - MERCI,-281.56
TD,2025-05-29,2025-05-30,PAYMENT - THANK YOU,-66.91
RBC,2025-05-29,2025-05-30,RCSS #1024 OAKVILLE ON,23.88
RBC,2025-05-31,2025-06-02,YUAN MING SUPERMARKET MISSISSAUGA ON,61.09
RBC,2025-05-31,2025-06-02,T&T SUPERMARKET #015 MISSISSAUGA ON,78.48
RBC,2025-05-31,2025-06-02,MOM©S PAN-FRIED BUNS MISSMISSISSAUGA ON,23.6
TD,2025-06-02,2025-06-03,CROWN CREST CAPITAL TORONTO,61.81
RBC,2025-06-02,2025-06-04,PRESTO FARE/5H5112KJ99 TORONTO ON,16.32
RBC,2025-06-03,2025-06-04,RCSS #1024 OAKVILLE ON,11.87
TD,2025-06-07,2025-06-10,Air China LT9996375684182 VANCOUVER,442
TD,2025-06-07,2025-06-10,Air China LT9996375684183 VANCOUVER,442
TD,2025-06-07,2025-06-10,Air China LT9996375684184 VANCOUVER,442
RBC,2025-06-07,2025-06-09,YUAN MING SUPERMARKET MISSISSAUGA ON,24.47
RBC,2025-06-07,2025-06-09,T&T SUPERMARKET #015 MISSISSAUGA ON,90.17
RBC,2025-06-07,2025-06-09,MOM©S PAN-FRIED BUNS MISSMISSISSAUGA ON,32.9
RBC,2025-06-09,2025-06-09,ANNUAL FEE,4
RBC,2025-06-10,2025-06-12,PRESTO FARE/5H6520BLXV TORONTO ON,16.32
RBC,2025-06-13,2025-06-16,T&T SUPERMARKET #015 MISSISSAUGA ON,123.77
RBC,2025-06-18,2025-06-19,RCSS #1024 OAKVILLE ON,31.42
RBC,2025-06-20,2025-06-23,RCSS #1024 OAKVILLE ON,8.75
RBC,2025-06-21,2025-06-23,YUAN MING SUPERMARKET MISSISSAUGA ON,85.86
RBC,2025-06-21,2025-06-23,T&T SUPERMARKET #015 MISSISSAUGA ON,90
RBC,2025-06-23,2025-06-25,TD CANADA TRUST TORONTO,-665.53
TD,2025-06-24,2025-06-25,TD Points Reversal,484.76
TD,2025-06-25,2025-06-25,EXPEDIA 73063528864047 877-222-6492,-484.76
